img_id,variant,source_dataset,generator_family,label,prob,path
cifake_1028 (10),clean,cifake,stable_diffusion,1,0.15921778976917267,data\cache\clean\test\cifake_1028 (10)\clean.jpg
cifake_2286 (2),clean,cifake,stable_diffusion,1,0.4267871379852295,data\cache\clean\test\cifake_2286 (2)\clean.jpg
cifake_2703 (7),clean,cifake,stable_diffusion,1,0.056856513023376465,data\cache\clean\test\cifake_2703 (7)\clean.jpg
cifake_2850 (3),clean,cifake,stable_diffusion,1,0.38462674617767334,data\cache\clean\test\cifake_2850 (3)\clean.jpg
cifake_3582 (9),clean,cifake,stable_diffusion,1,0.29633042216300964,data\cache\clean\test\cifake_3582 (9)\clean.jpg
cifake_4221 (2),clean,cifake,stable_diffusion,1,0.2522185444831848,data\cache\clean\test\cifake_4221 (2)\clean.jpg
cifake_4443,clean,cifake,stable_diffusion,1,0.3502596616744995,data\cache\clean\test\cifake_4443\clean.jpg
cifake_4615 (3),clean,cifake,stable_diffusion,1,0.10752489417791367,data\cache\clean\test\cifake_4615 (3)\clean.jpg
cifake_5607 (3),clean,cifake,stable_diffusion,1,0.08044777810573578,data\cache\clean\test\cifake_5607 (3)\clean.jpg
cifake_5845 (9),clean,cifake,stable_diffusion,1,0.49342697858810425,data\cache\clean\test\cifake_5845 (9)\clean.jpg
cifake_954 (9),clean,cifake,stable_diffusion,1,0.22086238861083984,data\cache\clean\test\cifake_954 (9)\clean.jpg
dalle_19157,clean,dalle,dalle,1,0.4949900209903717,data\cache\clean\test\dalle_19157\clean.jpg
dalle_2561,clean,dalle,dalle,1,0.053524501621723175,data\cache\clean\test\dalle_2561\clean.jpg
dalle_27029,clean,dalle,dalle,1,0.4335196018218994,data\cache\clean\test\dalle_27029\clean.jpg
dalle_28,clean,dalle,dalle,1,0.02804574742913246,data\cache\clean\test\dalle_28\clean.jpg
dalle_3007,clean,dalle,dalle,1,0.1881704032421112,data\cache\clean\test\dalle_3007\clean.jpg
dalle_33159,clean,dalle,dalle,1,0.021563399583101273,data\cache\clean\test\dalle_33159\clean.jpg
dalle_3c589aa7fd4a6705f1fd7918daf4ffb9,clean,dalle,dalle,1,0.2650802731513977,data\cache\clean\test\dalle_3c589aa7fd4a6705f1fd7918daf4ffb9\clean.jpg
dalle_40387,clean,dalle,dalle,1,0.33843088150024414,data\cache\clean\test\dalle_40387\clean.jpg
dalle_41791,clean,dalle,dalle,1,0.037729378789663315,data\cache\clean\test\dalle_41791\clean.jpg
dalle_6f0f61883f111368d770c54801f33449,clean,dalle,dalle,1,0.004568552598357201,data\cache\clean\test\dalle_6f0f61883f111368d770c54801f33449\clean.jpg
gigagan_01605,clean,gigagan,gigagan,1,0.3418083190917969,data\cache\clean\test\gigagan_01605\clean.jpg
gigagan_05738,clean,gigagan,gigagan,1,0.004293928854167461,data\cache\clean\test\gigagan_05738\clean.jpg
gigagan_06526,clean,gigagan,gigagan,1,0.0525263249874115,data\cache\clean\test\gigagan_06526\clean.jpg
gigagan_07350,clean,gigagan,gigagan,1,0.016562990844249725,data\cache\clean\test\gigagan_07350\clean.jpg
gigagan_09742,clean,gigagan,gigagan,1,0.4492219388484955,data\cache\clean\test\gigagan_09742\clean.jpg
gigagan_10914,clean,gigagan,gigagan,1,0.0014004275435581803,data\cache\clean\test\gigagan_10914\clean.jpg
gigagan_14071,clean,gigagan,gigagan,1,0.0023345905356109142,data\cache\clean\test\gigagan_14071\clean.jpg
gigagan_14946,clean,gigagan,gigagan,1,0.005053918808698654,data\cache\clean\test\gigagan_14946\clean.jpg
gigagan_15561,clean,gigagan,gigagan,1,0.005724424961954355,data\cache\clean\test\gigagan_15561\clean.jpg
gigagan_17003,clean,gigagan,gigagan,1,0.31127387285232544,data\cache\clean\test\gigagan_17003\clean.jpg
gigagan_20207,clean,gigagan,gigagan,1,0.0766446441411972,data\cache\clean\test\gigagan_20207\clean.jpg
gigagan_20327,clean,gigagan,gigagan,1,0.026909170672297478,data\cache\clean\test\gigagan_20327\clean.jpg
gigagan_20468,clean,gigagan,gigagan,1,0.030008191242814064,data\cache\clean\test\gigagan_20468\clean.jpg
gigagan_21611,clean,gigagan,gigagan,1,0.04934705048799515,data\cache\clean\test\gigagan_21611\clean.jpg
gigagan_22418,clean,gigagan,gigagan,1,0.30724361538887024,data\cache\clean\test\gigagan_22418\clean.jpg
gigagan_24679,clean,gigagan,gigagan,1,0.04719187691807747,data\cache\clean\test\gigagan_24679\clean.jpg
gigagan_24726,clean,gigagan,gigagan,1,0.42080819606781006,data\cache\clean\test\gigagan_24726\clean.jpg
gigagan_25090,clean,gigagan,gigagan,1,0.009319385513663292,data\cache\clean\test\gigagan_25090\clean.jpg
imagen3_045e6da6fd7f6fb0,clean,imagen3,imagen3,1,0.01546602975577116,data\cache\clean\test\imagen3_045e6da6fd7f6fb0\clean.jpg
imagen3_04e3097ac2f57647,clean,imagen3,imagen3,1,0.36657896637916565,data\cache\clean\test\imagen3_04e3097ac2f57647\clean.jpg
imagen3_07747d6ffd056bee,clean,imagen3,imagen3,1,0.00369336549192667,data\cache\clean\test\imagen3_07747d6ffd056bee\clean.jpg
imagen3_13ed1f9391224848,clean,imagen3,imagen3,1,0.024418091401457787,data\cache\clean\test\imagen3_13ed1f9391224848\clean.jpg
imagen3_15906,clean,imagen3,imagen3,1,0.02024928294122219,data\cache\clean\test\imagen3_15906\clean.jpg
imagen3_17643da56f35c6f7,clean,imagen3,imagen3,1,4.0670984162716195e-06,data\cache\clean\test\imagen3_17643da56f35c6f7\clean.jpg
imagen3_1fe9a0379cffa709,clean,imagen3,imagen3,1,0.48007968068122864,data\cache\clean\test\imagen3_1fe9a0379cffa709\clean.jpg
imagen3_24629,clean,imagen3,imagen3,1,0.0807613655924797,data\cache\clean\test\imagen3_24629\clean.jpg
imagen3_24e64d19ddde11cb,clean,imagen3,imagen3,1,1.8851000760378156e-09,data\cache\clean\test\imagen3_24e64d19ddde11cb\clean.jpg
imagen3_260ae6b06f1f50e2,clean,imagen3,imagen3,1,1.7491913240519352e-05,data\cache\clean\test\imagen3_260ae6b06f1f50e2\clean.jpg
imagen3_2be4510162a8a76e,clean,imagen3,imagen3,1,0.004392934963107109,data\cache\clean\test\imagen3_2be4510162a8a76e\clean.jpg
imagen3_3403b18fc93acbfc,clean,imagen3,imagen3,1,0.0021140086464583874,data\cache\clean\test\imagen3_3403b18fc93acbfc\clean.jpg
imagen3_43058,clean,imagen3,imagen3,1,0.00027901295106858015,data\cache\clean\test\imagen3_43058\clean.jpg
imagen3_43208,clean,imagen3,imagen3,1,0.15791106224060059,data\cache\clean\test\imagen3_43208\clean.jpg
imagen3_44015,clean,imagen3,imagen3,1,0.0030696121975779533,data\cache\clean\test\imagen3_44015\clean.jpg
imagen3_44476,clean,imagen3,imagen3,1,0.07422979921102524,data\cache\clean\test\imagen3_44476\clean.jpg
imagen3_46922,clean,imagen3,imagen3,1,0.03769529238343239,data\cache\clean\test\imagen3_46922\clean.jpg
imagen3_51659,clean,imagen3,imagen3,1,0.016566595062613487,data\cache\clean\test\imagen3_51659\clean.jpg
imagen3_519f5c348fe55fcd,clean,imagen3,imagen3,1,0.0010548945283517241,data\cache\clean\test\imagen3_519f5c348fe55fcd\clean.jpg
imagen3_52520,clean,imagen3,imagen3,1,0.010794970206916332,data\cache\clean\test\imagen3_52520\clean.jpg
imagen3_53632,clean,imagen3,imagen3,1,0.28385236859321594,data\cache\clean\test\imagen3_53632\clean.jpg
imagen3_560ead164dab63a5,clean,imagen3,imagen3,1,0.3060263395309448,data\cache\clean\test\imagen3_560ead164dab63a5\clean.jpg
imagen3_5e95809bd47d157b,clean,imagen3,imagen3,1,0.08608272671699524,data\cache\clean\test\imagen3_5e95809bd47d157b\clean.jpg
imagen3_69467160e53f71bc,clean,imagen3,imagen3,1,0.03281673043966293,data\cache\clean\test\imagen3_69467160e53f71bc\clean.jpg
imagen3_6a8270ea182a9194,clean,imagen3,imagen3,1,0.00017656390264164656,data\cache\clean\test\imagen3_6a8270ea182a9194\clean.jpg
imagen3_6c7624322b04ce43,clean,imagen3,imagen3,1,1.3039196346653625e-05,data\cache\clean\test\imagen3_6c7624322b04ce43\clean.jpg
imagen3_77fb2d4f372634f8,clean,imagen3,imagen3,1,0.004107000771909952,data\cache\clean\test\imagen3_77fb2d4f372634f8\clean.jpg
